Index,Date,Section,Observation Type,Pass/Fail,Scout,Notes
76,23/11/2024,B2S1A,inaccessibles,fail,Precious,
77,23/11/2024,B2S1A,soil moisture,partial,Precious,
78,23/11/2024,B2S1A,nutsetting,pass,Precious,
79,23/11/2024,B2S1A,nutdrop,partial,Precious,
80,23/11/2024,B2S1A,flowering,partial,Precious,at extension
81,23/11/2024,B2S1A,dead plants,pass,Precious,
82,23/11/2024,B2S1A,health status,pass,Precious,nuts looks healthy and big
83,23/11/2024,B2S1B,Insect pests,pass,Precious,
84,23/11/2024,B2S1B,diseases,pass,Precious,
85,23/11/2024,B2S1B,basin weeds,partial,Precious,incompete
86,23/11/2024,B2S1B,inrows,pass,Precious,
87,23/11/2024,B2S1B,mowing,pass,Precious,
88,23/11/2024,B2S1B,inaccessibles,fail,Precious,"Shingizha grass makes the field dirty ,so destumping is the best"
89,23/11/2024,B2S1B,nutsetting,partial,Precious,
90,23/11/2024,B2S1B,nutdrop,partial,Precious,
91,23/11/2024,B2S1B,flowering,partial,Precious,
92,23/11/2024,B2S1B,dead plants,pass,Precious,
93,23/11/2024,B2S1B,health status,pass,Precious,
94,23/11/2024,B2S3,Insect pests,pass,Precious,
95,23/11/2024,B2S3,diseases,pass,Precious,
96,23/11/2024,B2S3,basin weeds,pass,Precious,
97,23/11/2024,B2S3,inrows,partial,Precious,grass regrowth
98,23/11/2024,B2S3,mowing,fail,Precious,
99,23/11/2024,B2S3,inaccessibles,fail,Precious,
100,23/11/2024,B2S3,soil moisture,partial,Precious,
101,23/11/2024,B2S3,dead plants,pass,Precious,
102,23/11/2024,B2S3,nutsetting,partial,Precious,
103,23/11/2024,B2S3,flowering,partial,Precious,
104,23/11/2024,B2S3,nutdrop,pass,Precious,
105,23/11/2024,B2S3,health status,pass,Precious,
106,25/11/2024,B2S2,Insect pests,pass,Precious,
107,25/11/2024,B2S2,diseases,pass,Precious,
108,25/11/2024,B2S2,basin weeds,pass,Precious,
109,25/11/2024,B2S2,inrows,partial,Precious,due to shrubs
110,25/11/2024,B2S2,mowing,partial,Precious,grass regrowth
111,25/11/2024,B2S2,inaccessibles,partial,Precious,small portions require slashing
112,25/11/2024,B2S2,dead plants,pass,Precious,
113,25/11/2024,B2S2,soil moisture,partial,Precious,
114,25/11/2024,B2S2,nutsetting,partial,Precious,
115,25/11/2024,B2S2,flowering,partial,Precious,
116,25/11/2024,B2S2,nutdrop,pass,Precious,
117,25/11/2024,B2S2,health status,pass,Precious,
118,25/11/2024,B2S4,Insect pests,pass,Precious,
119,25/11/2024,B2S4,diseases,pass,Precious,
120,25/11/2024,B2S4,basin weeds,pass,Precious,
121,25/11/2024,B2S4,inrows,partial,Precious,grass regrowth
122,25/11/2024,B2S4,mowing,fail,Precious,
123,25/11/2024,B2S4,inaccessibles,partial,Precious,inprogress destumping withExcavator and incomplete slashing
124,25/11/2024,B2S4,dead plants,pass,Precious,
125,25/11/2024,B2S4,nutsetting,fail,Precious,
126,25/11/2024,B2S4,flowering,fail,Precious,
127,25/11/2024,B2S4,nutdrop,pass,Precious,
128,25/11/2024,B2S4,soil moisture,partial,Precious,
129,25/11/2024,B2S4,health status,partial,Precious,
130,27/11/2024,B1S1,Insect pests,partial,Precious,meallybugs spreading everywhere in B1S1
131,27/11/2024,B1S1,diseases,pass,Precious,sooty mould decreased
132,27/11/2024,B1S1,basin weeds,partial,Precious,inprogress
133,27/11/2024,B1S1,inrows,fail,Precious,to be slashed to avoid pests hosting
134,27/11/2024,B1S1,mowing,pass,Precious,
135,27/11/2024,B1S1,inaccessibles,partial,Precious,
136,27/11/2024,B1S1,contours,fail,Precious,
137,27/11/2024,B1S1,dead plants,pass,Precious,
138,27/11/2024,B1S1,soil moisture,partial,Precious,
139,27/11/2024,B1S1,flowering,partial,Precious,
140,27/11/2024,B1S1,nutsetting,pass,Precious,most of the plants have pea size nuts from late flowering
141,27/11/2024,B1S1,nutdrop,pass,Precious,
142,27/11/2024,B1S1,health status,pass,Precious,"macadamia nuts looks big,green and health"
143,27/11/2024,B1S2,Insect pests,pass,Precious,
144,27/11/2024,B1S2,diseases,pass,Precious,sooty mould decreased
145,27/11/2024,B1S2,basin weeds,pass,Precious,cleaned
146,27/11/2024,B1S2,inrows,fail,Precious,requires slashing
147,27/11/2024,B1S2,nutsetting,partial,Precious,
148,27/11/2024,B1S2,nutdrop,fail,Precious,
149,27/11/2024,B1S2,health status,fail,Precious,
150,27/11/2024,B1S2,flowering,partial,Precious,
151,30/11/2024,B2S8,Insect pests,pass,Precious,
152,30/11/2024,B2S8,diseases,partial,Precious,sterm canker on 3 plants
154,30/11/2024,B2S8,inrows,fail,Precious,the grass makes the field dirty
155,30/11/2024,B2S8,mowing,fail,Precious,
156,30/11/2024,B2S8,inaccessibles,fail,Precious,
157,30/11/2024,B2S8,dead plants,pass,Precious,
158,30/11/2024,B2S8,soil moisture,pass,Precious,
159,30/11/2024,B2S8,nutsetting,pass,Precious,
160,30/11/2024,B2S8,flowering,fail,Precious,
161,30/11/2024,B2S8,nutdrop,pass,Precious,
162,30/11/2024,B2S8,health status,pass,Precious,"nuts looks health,however these nuts are in merced land"
163,02/12/2024,B2S6,Insect pests,partial,Precious,only meally bugs found
164,02/12/2024,B2S6,diseases,partial,Precious,
165,02/12/2024,B2S6,basin weeds,partial,Precious,weeds regrowth in basins
166,02/12/2024,B2S6,inrows,pass,Precious,was slashed
167,02/12/2024,B2S6,mowing,pass,Precious,very smart
168,02/12/2024,B2S6,inaccessibles,pass,Precious,
169,02/12/2024,B2S6,soil moisture,partial,Precious,
170,02/12/2024,B2S6,dead plants,pass,Precious,
171,02/12/2024,B2S6,nutsetting,pass,Precious,
172,02/12/2024,B2S6,flowering,partial,Precious,
173,02/12/2024,B2S6,nutdrop,pass,Precious,
174,02/12/2024,B2S6,health status,partial,Precious,sooty mould and premature nut cracking on intergrifolia
175,02/12/2024,B2S7,Insect pests,partial,Precious,black citrus aphids on flowers and new leaves
176,02/12/2024,B2S7,diseases,partial,Precious,stem canker to be prevented with PVA and Copper
177,02/12/2024,B2S7,basin weeds,partial,Precious,grass regrowth
178,02/12/2024,B2S7,inrows,partial,Precious,
179,02/12/2024,B2S7,mowing,pass,Precious,
180,02/12/2024,B2S7,inaccessibles,partial,Precious,to be slashed
181,02/12/2024,B2S7,soil moisture,partial,Precious,
182,02/12/2024,B2S7,dead plants,pass,Precious,
183,02/12/2024,B2S7,nutsetting,pass,Precious,
184,02/12/2024,B2S7,nutdrop,pass,Precious,
185,02/12/2024,B2S7,flowering,partial,Precious,
186,02/12/2024,B2S7,health status,partial,Precious,few diseased plants require action
187,03/12/2024,B2S2,Insect pests,partial,Precious,black citrus aphids on few plants and I nut borer damage
188,03/12/2024,B2S2,diseases,pass,Precious,
189,03/12/2024,B2S2,basin weeds,partial,Precious,weeds regrowth
190,03/12/2024,B2S2,inrows,partial,Precious,grass regrowth
191,03/12/2024,B2S2,mowing,fail,Precious,
192,03/12/2024,B2S2,inaccessibles,partial,Precious,
193,03/12/2024,B2S2,soil moisture,fail,Precious,
194,03/12/2024,B2S2,dead plants,pass,Precious,
195,03/12/2024,B2S2,destumping,partial,Precious,uncompleted action
196,03/12/2024,B2S2,flowering,fail,Precious,
197,03/12/2024,B2S2,nutsetting,partial,Precious,
198,03/12/2024,B2S2,nutdrop,pass,Precious,
199,03/12/2024,B2S2,health status,pass,Precious,
200,03/12/2024,B2S4,Insect pests,pass,Precious,
201,03/12/2024,B2S4,diseases,pass,Precious,
202,03/12/2024,B2S4,basin weeds,partial,Precious,weeds regrowth in basins
203,03/12/2024,B2S4,inrows,partial,Precious,the grass and shrubs need action
204,03/12/2024,B2S4,mowing,fail,Precious,action is required
205,03/12/2024,B2S4,inaccessibles,partial,Precious,inprogress Excavator destumping
206,03/12/2024,B2S4,soil moisture,fail,Precious,irrigation should continues daily because of high temperatures
207,03/12/2024,B2S4,dead plants,pass,Precious,
208,03/12/2024,B2S4,destumping,partial,Precious,inprogress
209,03/12/2024,B2S4,flowering,fail,Precious,
210,03/12/2024,B2S4,nutsetting,partial,Precious,
211,03/12/2024,B2S4,nutdrop,pass,Precious,
212,03/12/2024,B2S4,health status,pass,Precious,
213,04/12/2024,B2S1A,Insect pests,partial,Precious,"2 plants with meally bugs,hetched eggs of unidentified pests"
214,04/12/2024,B2S1A,diseases,partial,Precious,2 plants with severe black sooty mould
215,04/12/2024,B2S1A,basin weeds,pass,Precious,still clean
216,04/12/2024,B2S1A,inrows,fail,Precious,the extension grass requires action
217,04/12/2024,B2S1A,mowing,pass,Precious,smart inter rows
218,04/12/2024,B2S1A,inaccessibles,fail,Precious,to be slashed
219,04/12/2024,B2S1A,soil moisture,fail,Precious,
220,04/12/2024,B2S1A,dead plants,pass,Precious,
221,04/12/2024,B2S1A,destumping,pass,Precious,was done
222,04/12/2024,B2S1A,flowering,fail,Precious,
223,04/12/2024,B2S1A,nutsetting,pass,Precious,
224,04/12/2024,B2S1A,nutdrop,pass,Precious,
225,04/12/2024,B2S1A,health status,partial,Precious,"only 2 plants to be treated but the nuts are so big ,green ,healthy"
227,04/12/2024,B2S1B,Insect pests,pass,Precious,
228,04/12/2024,B2S1B,diseases,pass,Precious,
229,04/12/2024,B2S1B,basin weeds,partial,Precious,incomplete action and grass regrowth
230,04/12/2024,B2S1B,inrows,partial,Precious,grass regrowth
231,04/12/2024,B2S1B,mowing,pass,Precious,
232,04/12/2024,B2S1B,inaccessibles,fail,Precious,field is dirty so destumping is the best .Also the grass desturbs other
233,04/12/2024,B2S1B,dead plants,pass,Precious,
234,04/12/2024,B2S1B,flowering,fail,Precious,
235,04/12/2024,B2S1B,nutsetting,partial,Precious,
236,04/12/2024,B2S1B,nutdrop,pass,Precious,
237,04/12/2024,B2S1B,health status,pass,Precious,.
238,04/12/2024,B2S3,Insect pests,partial,Precious,black citrus aphids on few plants
239,04/12/2024,B2S3,diseases,pass,Precious,
240,04/12/2024,B2S3,basin weeds,partial,Precious,weeds regrowth
241,04/12/2024,B2S3,inrows,fail,Precious,
242,04/12/2024,B2S3,mowing,fail,Precious,
243,04/12/2024,B2S3,inaccessibles,pass,Precious,was slashed
244,04/12/2024,B2S3,soil moisture,partial,Precious,
245,04/12/2024,B2S3,dead plants,pass,Precious,
246,04/12/2024,B2S3,flowering,partial,Precious,
247,04/12/2024,B2S3,nutsetting,partial,Precious,
248,04/12/2024,B2S3,nutdrop,pass,Precious,
249,04/12/2024,B2S3,health status,pass,Precious,
251,05/12/2024,B2S5,Insect pests,pass,Precious,
252,05/12/2024,B2S5,diseases,partial,Precious,due to colar rot
253,05/12/2024,B2S5,basin weeds,pass,Precious,
254,05/12/2024,B2S5,inrows,partial,Precious,incomplete
255,05/12/2024,B2S5,mowing,fail,Precious,
256,05/12/2024,B2S5,inaccessibles,pass,Precious,was slashed
257,05/12/2024,B2S5,soil moisture,partial,Precious,
258,05/12/2024,B2S5,dead plants,partial,Precious,1 dead plant at extension
259,05/12/2024,B2S5,flowering,partial,Precious,
260,05/12/2024,B2S5,nutsetting,partial,Precious,
261,05/12/2024,B2S5,nutdrop,pass,Precious,
262,05/12/2024,B2S5,health status,pass,Precious,"all nuts looks health however ,colar rot to be prevented"
264,05/12/2024,B2S6,Insect pests,partial,Precious,black citrus aphids on new shoots on a spot area
265,05/12/2024,B2S6,diseases,pass,Precious,
266,05/12/2024,B2S6,basin weeds,partial,Precious,weeds regrowth
267,05/12/2024,B2S6,inrows,pass,Precious,
268,05/12/2024,B2S6,mowing,pass,Precious,
269,05/12/2024,B2S6,inaccessibles,pass,Precious,
270,05/12/2024,B2S6,soil moisture,fail,Precious,
271,05/12/2024,B2S6,dead plants,pass,Precious,
272,05/12/2024,B2S6,flowering,partial,Precious,
273,05/12/2024,B2S6,nutsetting,pass,Precious,
274,05/12/2024,B2S6,nutdrop,pass,Precious,
275,05/12/2024,B2S6,health status,pass,Precious,
276,05/12/2024,B2S7,Insect pests,fail,Precious,1 Green veg bug [ yellow edged ]black citrus aphids on spot area
277,05/12/2024,B2S7,diseases,partial,Precious,stem canker to be prevented with copper oxychloride
278,05/12/2024,B2S7,basin weeds,partial,Precious,weeds regrowth
279,05/12/2024,B2S7,inrows,pass,Precious,
280,05/12/2024,B2S7,mowing,pass,Precious,smart inter rows
281,05/12/2024,B2S7,inaccessibles,partial,Precious,to be slashed
282,05/12/2024,B2S7,soil moisture,partial,Precious,..hot weather
283,05/12/2024,B2S7,dead plants,pass,Precious,
284,05/12/2024,B2S7,flowering,partial,Precious,
285,05/12/2024,B2S7,nutsetting,pass,Precious,
286,05/12/2024,B2S7,nutdrop,pass,Precious,
287,05/12/2024,B2S7,health status,pass,Precious,only stem canker to be treated on few plants
288,05/12/2024,B1S1,Insect pests,partial,Precious,meally bugs on nut stalk and hetched eggs
289,05/12/2024,B1S1,diseases,partial,Precious,husk rot on pea sized nuts to be treated with fungicide
290,05/12/2024,B1S1,basin weeds,partial,Precious,incomplete action and grass regrowth
291,05/12/2024,B1S1,inrows,pass,Precious,
292,05/12/2024,B1S1,mowing,pass,Precious,
293,05/12/2024,B1S1,inaccessibles,partial,Precious,small portions need action
294,05/12/2024,B1S1,contours,fail,Precious,very dirty
295,05/12/2024,B1S1,dead plants,pass,Precious,
296,05/12/2024,B1S1,flowering,fail,Precious,
297,05/12/2024,B1S1,nutsetting,pass,Precious,
298,05/12/2024,B1S1,nutdrop,pass,Precious,
299,05/12/2024,B1S1,health status,partial,Precious,husk rot on pea sized nuts to be treated with fungicide
301,05/12/2024,B1S2,Insect pests,partial,Precious,1 nut borer damage
302,05/12/2024,B1S2,diseases,pass,Precious,
303,05/12/2024,B1S2,basin weeds,pass,Precious,
304,05/12/2024,B1S2,inrows,pass,Precious,
305,05/12/2024,B1S2,mowing,partial,Precious,incomplete field which need action
306,05/12/2024,B1S2,inaccessibles,fail,Precious,to be slashed
307,05/12/2024,B1S2,contours,fail,Precious,
308,05/12/2024,B1S2,dead plants,pass,Precious,
309,05/12/2024,B1S2,flowering,fail,Precious,
310,05/12/2024,B1S2,nutsetting,pass,Precious,
311,05/12/2024,B1S2,nutdrop,partial,Precious,few pea sized nut under trees
312,05/12/2024,B1S2,health status,pass,Precious,
313,05/12/2024,B2S8,Insect pests,pass,Precious,
314,05/12/2024,B2S8,diseases,partial,Precious,3plants with stem canker to be treated
315,05/12/2024,B2S8,basin weeds,fail,Precious,the grass need action
316,05/12/2024,B2S8,inrows,partial,Precious,inprogress
317,05/12/2024,B2S8,mowing,partial,Precious,
318,05/12/2024,B2S8,inaccessibles,fail,Precious,
319,05/12/2024,B2S8,soil moisture,partial,Precious,
320,05/12/2024,B2S8,dead plants,pass,Precious,
321,05/12/2024,B2S8,flowering,partial,Precious,
322,05/12/2024,B2S8,nutsetting,pass,Precious,
323,05/12/2024,B2S8,nutdrop,partial,Precious,
324,05/12/2024,B2S8,health status,pass,Precious,only stem canker to be treated on few plants
325,04/12/2024,B2S1A,Insect pests,partial,Precious,1 stink bug damage found
326,04/12/2024,B2S1A,diseases,pass,Precious,
327,04/12/2024,B2S1A,basin weeds,partial,Precious,
328,04/12/2024,B2S1A,inrows,fail,Precious,grass to be controlled
329,04/12/2024,B2S1A,mowing,pass,Precious,
330,04/12/2024,B2S1A,inaccessibles,fail,Precious,slashing is required
331,04/12/2024,B2S1A,soil moisture,partial,Precious,
332,04/12/2024,B2S1A,dead plants,pass,Precious,
333,04/12/2024,B2S1A,flowering,partial,Precious,
334,04/12/2024,B2S1A,nutsetting,pass,Precious,
335,04/12/2024,B2S1A,nutdrop,pass,Precious,
336,04/12/2024,B2S1A,health status,pass,Precious,however high temperatures lead to water stress on plants
337,04/12/2024,B2S1B,Insect pests,partial,Precious,1 nut borer damage found
338,04/12/2024,B2S1B,diseases,pass,Precious,
339,04/12/2024,B2S1B,basin weeds,fail,Precious,weeds need action
340,04/12/2024,B2S1B,inrows,fail,Precious,to be slashed
341,04/12/2024,B2S1B,mowing,pass,Precious,
342,04/12/2024,B2S1B,inaccessibles,fail,Precious,the field is so dirty henceforth destumping is the best
343,04/12/2024,B2S1B,soil moisture,partial,Precious,
344,04/12/2024,B2S1B,dead plants,pass,Precious,
345,04/12/2024,B2S1B,flowering,partial,Precious,
346,04/12/2024,B2S1B,nutsetting,partial,Precious,
347,04/12/2024,B2S1B,nutdrop,pass,Precious,
348,04/12/2024,B2S1B,health status,pass,Precious,
349,04/12/2024,B2S2,Insect pests,partial,Precious,1 flower caterpillar moth
350,04/12/2024,B2S2,diseases,pass,Precious,
351,04/12/2024,B2S2,basin weeds,partial,Precious,weeds regrowth
352,04/12/2024,B2S2,inrows,fail,Precious,
353,04/12/2024,B2S2,mowing,fail,Precious,
354,04/12/2024,B2S2,inaccessibles,fail,Precious,
355,04/12/2024,B2S2,soil moisture,fail,Precious,
356,04/12/2024,B2S2,flowering,fail,Precious,
357,04/12/2024,B2S2,nutsetting,partial,Precious,
358,04/12/2024,B2S2,nutdrop,pass,Precious,
359,04/12/2024,B2S2,health status,pass,Precious,
360,04/12/2024,B2S4,Insect pests,pass,Precious,
361,04/12/2024,B2S4,diseases,pass,Precious,
362,04/12/2024,B2S4,basin weeds,partial,Precious,weeds require action
363,04/12/2024,B2S4,inrows,fail,Precious,to be slashed
364,04/12/2024,B2S4,mowing,fail,Precious,
365,04/12/2024,B2S4,inaccessibles,partial,Precious,due to Excavator destumping in progress
366,04/12/2024,B2S4,soil moisture,fail,Precious,
367,04/12/2024,B2S4,dead plants,pass,Precious,
368,04/12/2024,B2S4,flowering,pass,Precious,
369,04/12/2024,B2S4,nutsetting,partial,Precious,
370,04/12/2024,B2S4,nutdrop,pass,Precious,
371,04/12/2024,B2S4,health status,pass,Precious,
372,04/12/2024,B2S3,Insect pests,pass,Precious,
373,04/12/2024,B2S3,diseases,pass,Precious,
374,04/12/2024,B2S3,basin weeds,fail,Precious,weeds should be removed
375,04/12/2024,B2S3,inrows,fail,Precious,
376,04/12/2024,B2S3,mowing,fail,Precious,
377,04/12/2024,B2S3,inaccessibles,pass,Precious,was slashed
378,04/12/2024,B2S3,soil moisture,fail,Precious,
379,04/12/2024,B2S3,dead plants,partial,Precious,3 young plants died due to water stress [hot temperatures]
380,04/12/2024,B2S3,flowering,partial,Precious,
381,04/12/2024,B2S3,nutsetting,partial,Precious,
382,04/12/2024,B2S3,nutdrop,partial,Precious,
383,04/12/2024,B2S3,health status,pass,Precious,
384,19/12/2024,B2S5,Insect pests,pass,Precious,
385,19/12/2024,B2S5,diseases,pass,Precious,
386,19/12/2024,B2S5,basin weeds,partial,Precious,weeds regrowth in basins
387,19/12/2024,B2S5,inrows,partial,Precious,incomplete
388,19/12/2024,B2S5,mowing,partial,Precious,incomplete
389,19/12/2024,B2S5,inaccessibles,pass,Precious,was slashed
390,19/12/2024,B2S5,soil moisture,partial,Precious,
391,19/12/2024,B2S5,dead plants,pass,Precious,1 at extension
392,19/12/2024,B2S5,nutsetting,partial,Precious,
393,19/12/2024,B2S5,nutdrop,pass,Precious,
394,19/12/2024,B2S5,health status,pass,Precious,
395,20/12/2024,B1S1,Insect pests,partial,Precious,conjective meally bugs on nut stalk and under individual trees
396,20/12/2024,B1S1,diseases,partial,Precious,due to sooty mould
397,20/12/2024,B1S1,basin weeds,partial,Precious,incomplete action and grass regrowth
398,20/12/2024,B1S1,inrows,pass,Precious,
399,20/12/2024,B1S1,mowing,pass,Precious,
400,20/12/2024,B1S1,inaccessibles,pass,Precious,
401,20/12/2024,B1S1,contours,fail,Precious,
402,20/12/2024,B1S1,health status,pass,Precious,
403,21/12/2024,B2S7,Insect pests,fail,Precious,"meally bugs,stink bug eggs hetched and unhetched ,2nymphal"
404,21/12/2024,B2S7,basin weeds,partial,Precious,weeds regrowth in basins
405,21/12/2024,B2S7,inrows,pass,Precious,
406,21/12/2024,B2S7,mowing,pass,Precious,
407,21/12/2024,B2S7,inaccessibles,pass,Precious,
408,21/12/2024,B2S7,soil moisture,pass,Precious,
409,21/12/2024,B2S7,dead plants,pass,Precious,
410,21/12/2024,B2S7,health status,pass,Precious,
411,21/12/2024,B2S7,diseases,partial,Precious,sooty mould on individual trees
412,27/12/2024,B2S6,Insect pests,pass,Precious,
413,27/12/2024,B2S6,diseases,pass,Precious,
414,27/12/2024,B2S6,basin weeds,partial,Precious,which need action
415,27/12/2024,B2S6,inrows,partial,Precious,grass regrowth
416,27/12/2024,B2S6,mowing,partial,Precious,grass regrowth
417,27/12/2024,B2S6,inaccessibles,pass,Precious,
418,27/12/2024,B2S6,dead plants,pass,Precious,
419,27/12/2024,B2S6,soil moisture,pass,Precious,
420,27/12/2024,B2S6,health status,pass,Precious,
421,30/12/2024,B2S8,Insect pests,pass,Precious,
422,30/12/2024,B2S8,diseases,pass,Precious,
423,30/12/2024,B2S8,basin weeds,fail,Precious,
424,30/12/2024,B2S8,inrows,partial,Precious,
425,30/12/2024,B2S8,mowing,partial,Precious,
426,30/12/2024,B2S8,inaccessibles,fail,Precious,
427,30/12/2024,B2S8,soil moisture,pass,Precious,
428,30/12/2024,B2S8,dead plants,pass,Precious,
429,30/12/2024,B2S8,health status,pass,Precious,
430,31/12/2024,B1S2,Insect pests,partial,Precious,stink bug eggs on nut
431,31/12/2024,B1S2,diseases,pass,Precious,
432,31/12/2024,B1S2,basin weeds,pass,Precious,
433,31/12/2024,B1S2,mowing,fail,Precious,
434,31/12/2024,B1S2,inaccessibles,fail,Precious,
435,31/12/2024,B1S2,contours,fail,Precious,
436,31/12/2024,B1S2,soil moisture,pass,Precious,
437,31/12/2024,B1S2,health status,pass,Precious,
438,15/01/2025,B1S2,Insect pests,pass,Precious,savage was very effective
439,15/01/2025,B1S2,diseases,pass,Precious,
440,15/01/2025,B1S2,basin weeds,pass,Precious,very smart
441,15/01/2025,B1S2,inrows,pass,Precious,
442,15/01/2025,B1S2,mowing,pass,Precious,orchard is smart
443,15/01/2025,B1S2,inaccessibles,pass,Precious,
444,15/01/2025,B1S2,contours,pass,Precious,
445,15/01/2025,B1S2,dead plants,pass,Precious,
446,15/01/2025,B1S2,soil moisture,fail,Precious,
447,15/01/2025,B1S2,health status,pass,Precious,
448,16/01/2025,B1S1,Insect pests,fail,Precious,fruit spotting bug nympal on nut . Few meally bugs also found
449,16/01/2025,B1S1,diseases,partial,Precious,"sooty mould not totally eradicated ,copper sprays are highly required"
450,16/01/2025,B1S1,basin weeds,pass,Precious,very smart
451,16/01/2025,B1S1,inrows,pass,Precious,
452,16/01/2025,B1S1,mowing,pass,Precious,
453,16/01/2025,B1S1,inaccessibles,pass,Precious,
454,16/01/2025,B1S1,contours,pass,Precious,very smart
455,16/01/2025,B1S1,dead plants,pass,Precious,
456,16/01/2025,B1S1,soil moisture,pass,Precious,due to showers of today
457,16/01/2025,B1S1,health status,partial,Precious,
458,21/01/2025,B2S7,Insect pests,pass,Precious,
459,21/01/2025,B2S7,diseases,pass,Precious,
460,21/01/2025,B2S7,basin weeds,pass,Precious,very clean due to handweeding
461,21/01/2025,B2S7,inrows,pass,Precious,was slashed
462,21/01/2025,B2S7,mowing,pass,Precious,the orchard floor is smart
463,21/01/2025,B2S7,inaccessibles,pass,Precious,
464,21/01/2025,B2S7,dead plants,pass,Precious,
465,21/01/2025,B2S7,soil moisture,pass,Precious,due to heavy rain
466,21/01/2025,B2S7,health status,pass,Precious,plants and nuts are healthier in a clean orchard
467,22/01/2025,B2S1A,Insect pests,pass,Precious,
